"filename", "language", "C++", "Ini", "comment", "blank", "total"
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\avatar.h", "C++", 33, 0, 0, 4, 37
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\map.h", "C++", 45, 0, 0, 4, 49
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\map_objects.h", "C++", 32, 0, 0, 3, 35
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\avatar.cpp", "C++", 77, 0, 0, 14, 91
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\lights_out.cpp", "C++", 115, 0, 0, 22, 137
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\map.cpp", "C++", 91, 0, 0, 18, 109
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\map_objects.cpp", "C++", 49, 0, 0, 7, 56
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\referencias\mapa_prueba.ini", "Ini", 0, 35, 0, 3, 38
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\reglas\TheGame-Reglas.cpp", "C++", 3, 0, 0, 1, 4
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\reglas\resolver.cpp", "C++", 14, 0, 0, 3, 17
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\src\main.cpp", "C++", 139, 0, 0, 14, 153
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test.cpp", "C++", 113, 0, 0, 21, 134
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test2.cpp", "C++", 21, 0, 1, 4, 26
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test3.cpp", "C++", 48, 0, 0, 6, 54
"Total", "-", 780, 35, 1, 124, 940
